"key","en","ja","zh-TW"
"admin.orders.orders_print.product_total","Product total price:","商品の合計金額:","商品總價:"
"admin.orders.orders_print.referral_discount","Referral discount:","紹介コード割引:","推薦碼折扣:"
"admin.orders.orders_print.shipping_address","Shipping address","受取人情報","收件人資訊"
"admin.orders.orders_print.shipping_fee","Shipping fee (express delivery):","配送料金（速達）：","配送費用 (快遞):"
"admin.orders.orders_print.special_discount","Special discount:","オプションのグループ割引:","任選群組折價:"
"admin.orders.orders_print.status","Status","状態","狀態"
"admin.orders.orders_print.subtotal","Subtotal (without shipping):","小計（送料を除く）:","小計(不含運):"
"admin.orders.orders_print.supporting_shipping_not_found","Not supporting specified shipping.","この送り状はサポートされていません","無支援該托運單"
"admin.orders.orders_print.title","Title","見上げる","抬頭"
"admin.orders.orders_print.total","Total","合計金額","總價"
"admin.orders.orders_print.total_price","Total:","一時金：","總金額:"
"admin.orders.orders_print.triplicate_invoice","Triplicate invoice","トリプル請求書","三聯式發票"
"admin.orders.orders_print.vip_discount","VIP discount:","VIP割引:","VIP 折扣:"
"admin.orders.out_of_stock","Part of items are out of stock.","一部の商品は在庫切れです","部分商品庫存不足"
"admin.orders.overdue","Overdue","期限切れ","已逾期"
"admin.orders.partial_return_details.item_name","Product name / variant name","製品名/スタイル名","商品名稱/款式名稱"
"admin.orders.partial_return_details.return_details","Return Product List","返品された商品","退貨商品"
"admin.orders.partial_return_details.return_item_quantity","Return quantity requested","返品数量のリクエスト","申請退貨數量"
"admin.orders.payment_credit.accept_payment","Accept payment","支払いを受け入れる","接受付款"
"admin.orders.payment_credit.cancel","Cancel","キャンセル","取消"
"admin.orders.payment_credit.customer_authorized","Customer authorizes you the payment amount","顧客があなたに受け取ることを承認した金額","顧客授權您接收款項金額"
"admin.orders.payment_credit.or","or","または","或者"
"admin.orders.payment_credit.receive_amount","Receive this amount","この金額を受け取る","接收此金額"
"admin.orders.payment_status_credit.accept_payment","Receive payment","支払いを受け取る","接收款項"
"admin.orders.payment_status_credit.authorized","You are authorized to receive","あなたは受け取る権限があります","已授權您接收"
"admin.orders.payment_status_credit.payment_method","Payment method","お支払い方法","付款方式"
"admin.orders.pelican_reminder.and","and","そして","與"
"admin.orders.pelican_reminder.call_pelican","Request the driver to automatically pick up the package after printing the label.","注文書を印刷後、配達ドライバーに荷物を自動的に引き取りに来てもらうよう依頼してください（14:00までに注文書を印刷してください）","請宅配通司機於印單後自動前來取件(14:00前印單)"
"admin.orders.pelican_reminder.I_agree","I agree to","同意します","我同意"
"admin.orders.pelican_reminder.note_colon","Note:","述べる：","備註："
"admin.orders.pelican_reminder.pelican_holidays","2. ""During peak periods such as Dragonboat festival, Moon festival, and Lunar new year, an additional 10 CYBERBIZ coin of peak period service fee will be charged.""","2. 「端午節、中秋節、春節の物流ピーク期間中は、10サイバーコインのピークサービス料金が追加で請求されます。」","2.「 端午、中秋、春節，物流繁盛期間，加收繁盛期服務費 10 Cyber幣。 」"
"admin.orders.pelican_reminder.pelican_low_temp","1. If ""Room temperature shipping shipping label printed, but ship as chilled shipping"" or ""chilled shipping shipping label printed, but ship as room temperature shipping"", an additional 50 CYBERBIZ coin of accounting processing fee will be charged per shipping label.","1.「常温運送状を印刷して低温で発送」または「低温運送状を印刷して常温で発送」する場合は、運送状1枚につき50サイバーコインの手数料が加算されます。","1. 若「列印常溫託運單，卻以低溫寄送」或「列印低溫託運單，卻以常溫寄送」，每張託運單將加收 50 Cyber幣帳務處理費。"
"admin.orders.pelican_reminder.pelican_refer","5. For Pelican shippment process, please refer to our","5. 詳細は","5. 宅配通出貨流程請參閱我們的"
"admin.orders.pelican_reminder.pelican_triple","4. ""Pelican Express triplicate shipping label sticker"" is required for printing the shipping label. Please contact Pelican Express to obtain it.","4. 送り状を印刷する際は必ず「3枚入り白紙送り状シール」をご使用ください。お持ちでない場合は、まず配送業者に連絡してお受け取りください。","4. 列印單請務必使用""宅配通三連空白託運單貼紙""，若沒有請先致電宅配通領取"
"admin.orders.pelican_reminder.pelican_unshipped","6. If a Pelican Express shipping label was downloaded but unused, the CYBERBIZ coin will be refunded after two weeks. However, if the shipping label was used to ship an product after the refund, the system will deduct the CYBERBIZ coin again.","6. 配送明細書をダウンロードしたが使用しなかった場合、配送サイバーコインは2週間後に返金されます。ただし、サイバーコインの返金後も明細書を使用して発送した場合、配送サイバーコインが再度記録されます。","6. 若下載宅配通託運單後未使用，會於兩週後退回運費Cyber幣；但若再退回Cyber幣後仍使用該託運單出貨，系統會再次記錄運費Cyber幣。"
"admin.orders.pelican_reminder.pelican_unshipped_enterprise","6. If a Pelican Express shipping label was downloaded but unused, the CYBERBIZ coin will be refunded as appeared in the statement after two weeks. However, if the shipping label was used to ship an product after the refund, the system will deduct the CYBERBIZ coin again from the statement.","6. 配送明細書をダウンロードしたが使用しなかった場合、2週間後のその期間の明細書に含まれ、配送サイバーコインが返金されます。ただし、サイバーコインが返金された後も請求書を使用して発送した場合、システムは配送サイバーコインを明細書に再度記録します。","6. 若下載宅配通託運單後未使用，會於兩週後列入該期對帳單中，退回運費Cyber幣；但若在退回Cyber幣後仍使用該託運單出貨，系統會再次記錄運費Cyber幣於對帳單中。"
"admin.orders.pelican_reminder.pelican_weekends","3. ""An additional 20 CYBERBIZ coin will be charged for Pelican Express Pickup on Weekends""","3.「土曜・日曜の配送の場合、別途配送料20サイバーコインがかかります。」","3.「 宅配通週六日取件，加收運費 20 Cyber幣。 」"
"admin.orders.pelican_reminder.tutorial","tutorial","教育ファイル","教學文件"
"admin.orders.pelican_shipping_contract","Pelican Express contract specifications","宅配契約仕様","宅配通合約規範"
"admin.orders_print_templates.edit.admin_panel","<i class='icon-keyboard'></i> Admin Panel
","<i class='icon-keyboard'></i> バックステージパネル
","<i class='icon-keyboard'></i> 後台面板
"
"admin.orders_print_templates.edit.edit_order_details","Edit Order Details Template","注文詳細テンプレートの編集と印刷","編輯列印訂單明細樣板"
"admin.orders_print_templates.edit.edit_shipment_details","Edit Shipping Details Template","配送詳細テンプレートの編集と印刷","編輯列印出貨明細樣板"
"admin.orders_print_templates.edit.order_details","Order Details","注文の詳細","訂單明細"
"admin.orders_print_templates.edit.order_details_reminder_body","Order Details Reminder Content","リマインダーテキストコンテンツの開始","開頭提醒文字內容"
"admin.orders_print_templates.edit.order_details_reminder_title","Order Details Reminder Title","オープニングリマインダーテキストタイトル","開頭提醒文字標題"
"admin.orders_print_templates.edit.preview_orders_details","Preview Order Details","注文詳細のプレビュー","訂單明細預覽"
"admin.orders_print_templates.edit.preview_shipment_details","Preview Shipment Details","配送詳細のプレビュー","出貨明細預覽"
"admin.orders_print_templates.edit.reminder_html","Reminder <br/> 1. Please preview and make sure everything is displayed correctly before saving. <br/> 2. Make sure there is a fulfilled order before previewing to ensure that the details is displayed correctly.","注意<br/> 1. 保存する前に、正常に表示されるかプレビューしてください<br/> 2. プレビューするときは、発送済みの注文がなければなりません。そうでない場合は、正常に表示されない可能性があります","提醒您 <br/> 1. 儲存前請先預覽是否正常顯示 <br/> 2. 預覽時必須有存在已經出貨的訂單，否則可能無法正常顯示"
"admin.orders_print_templates.edit.reminder_order_detail","3. To enable partial data masking of personal information during order details printing, please navigate to the security settings.","3. 注文詳細に個人情報を印刷する必要がある場合は、セキュリティ設定に移動してください。","3. 若須進行訂單明細列印部份個資隱碼，請前往安全性設定"
"admin.orders_print_templates.edit.reset","Reset to default template","デフォルトのテンプレートに返信","回復預設樣板"
"admin.orders_print_templates.edit.shipment_details_template","Shipment Details Template","発送詳細","出貨明細"
"admin.orders_print_templates.edit.shopping_cart_cash_flow","Cart & Payments","ショッピングカートとお支払いの流れ（コンビニ受取）","購物車與金流（超商取貨）"
"admin.orders_print_templates.edit.template","Template","モデル","樣板"
"admin.orders.refund_order.source.hilife","Hilife","ハイライフ","萊爾富"
"admin.orders.refund_order.unarrived.cyberbiz_mail_msg","[%{shop_id}][%{shop_name}][%{order_id}][%{order_name}]<br/>%{info}<br/>The system has automatically triggered the refund process.","[%{shop_id}][%{shop_name}][%{order_id}][%{order_name}]<br/>%{info}}システムにより払い戻し手続きが自動的に開始されました。","[%{shop_id}][%{shop_name}][%{order_id}][%{order_name}]<br/>%{info}<br/>系統已自動觸發退款步驟。"
"admin.orders.refund_order.unarrived.mail_title","%{source} product lost and refunded notification","%{source} 製品の紛失および返金に関するお知らせ","%{source}貨品遺失並退款通知"
"admin.orders.refund_order.unarrived.shop_mail_msg","Dear store owner, we would like to inform you that there is an order:
%{order_name}
%{info}
The system has automatically triggered the refund process.","店主様、注文がありましたのでお知らせいたします:
%{order_name}
%{info}
システムにより払い戻しプロセスが自動的に開始されました。","親愛的店家您好，通知您有一筆訂單：
%{order_name}
%{info}
系統已自動觸發退款步驟。"
"admin.orders.refund_order.unarrived.status_info","%{source} waybill number: ""%{tracking_number}"", paid order encountered ""%{description}"" on ""%{date}"".","%{source} の送り状番号: ""%{tracking_number}"" ですが、支払済みの注文には ""%{description}""、日付: ""%{date}"" が見つかりました。","%{source}託運單號：「 %{tracking_number} 」，已付款訂單卻遇到「 %{description} 」，日期：「 %{date} 」。"
"admin.orders.report.download_pdf_activity","Shipping label for Order %{order_list}","No. %{order_list} 送り状","編號%{order_list}託運單"
"admin.orders.report.export_order_report","[IP: %{ip}] Exported order report. Time: %{time}. The system will send an email to %{email} after the export is completed.","[IP: %{ip}] エクスポート注文レポート、時刻: %{time}、エクスポートが完了すると、システムから %{email} にメールが送信されます","[IP: %{ip}]匯出訂單報表，時間: %{time}，系統完成匯出後將寄信給 %{email}"
"admin.orders.reportion.admin_panel","Admin Panel","バックステージパネル","後台面板"
"admin.orders.reportion.agree","Confirm","同意します","我同意"
"admin.orders.reportion.all","All...","全て...","所有..."
"admin.orders.reportion.authenticator_otp","Authenticator OTP code","認証コード","Authenticator驗證碼"
"admin.orders.reportion.avaliable_fields","Avaliable Fields","レポートで利用可能なフィールド","報表可用欄位"
"admin.orders.reportion.cancel","Cancel","キャンセル","取消"
"admin.orders.reportion.date_pick_30_days","Last 30 Days","過去30日間","最近 30 天"
"admin.orders.reportion.date_pick_7_days","Last 7 Days","過去7日間","最近 7 天"
"admin.orders.reportion.date_pick_c_month","This Month","今月","這個月"
"admin.orders.reportion.date_pick_l_month","Last Month","先月","上個月"
"admin.orders.reportion.email_to","Once completed, the exported data will be exported to %{email}","完了後、エクスポートされたデータは%{email}に送信されます。","完成後會把匯出的資料寄給 %{email}"
"admin.orders.reportion.enter_otp","Please enter the 6-digit verification code.","6桁の確認コードを入力してください","請輸入6位驗證碼"
"admin.orders.reportion.expand_related_items","Expand Collection Items","組み合わせ製品情報を展開","展開組合商品資訊"
"admin.orders.reportion.export","Export","輸出","匯出"
"admin.orders.reportion.export_order_report","Order Data Export","注文レポートのエクスポート","訂單報表匯出"
"admin.orders.reportion.export_reminder_day","2. If there is a lot of order data during activity period, it is also recommended to set the time interval to days to receive the files in time","2. イベント期間中に注文データが多い場合は、ファイルをタイムリーに受信できるように、数日にわたって複数回エクスポートすることをお勧めします。","2. 若活動檔期內訂單資料較多，也建議分天數多次匯出，較能及時收到檔案"
"admin.orders.reportion.export_reminder_month","1. If multi-month data is exported within the time interval (GMT+8), it is recommended to export orders monthly to receive the files in time","1. エクスポート時間間隔の注文（GMT+8）複数月分のデータをエクスポートする必要がある場合は、ファイルをタイムリーに受け取れるように月単位でエクスポートすることをお勧めします。","1. 訂單匯出時間區間 (GMT+8) 若有匯出多月份資料，建議按月匯出，較能及時收到檔案"
"admin.orders.reportion.fields","Fields","レポートフィールド","報表欄位"
"admin.orders.reportion.filter_delivery.arrived","Arrived in store","すでに店頭に並んでいます","已到店"
"admin.orders.reportion.filter_delivery.expired","Pickup time window expired","期限切れ","逾期未取"
"admin.orders.reportion.filter_delivery.filter_delivery_status","Filter by Delivery Status","配送状況フィルター","配送狀態篩選"
"admin.orders.reportion.filter_delivery.fulfilled","Fulfilled","発送済み","已出貨"
"admin.orders.reportion.filter_delivery.multiple_selection","Multiple selections are allowed. Leave empty for all delivery status","チェック可能、すべての出荷ステータスについては空白のままにしてください","可複選，留空則為所有出貨狀態"
"admin.orders.reportion.filter_delivery.partial","Partially shipped","部分出荷","部分出貨"
"admin.orders.reportion.filter_delivery.preparing","Preparing","すぐに発送可能","準備出貨"
"admin.orders.reportion.filter_delivery.problem","Problem occurred during shipping","異常分娩","運送異常"
"admin.orders.reportion.filter_delivery.received","Received","受け取った","已收貨"
"admin.orders.reportion.filter_delivery.returned","Returned","返品","已退貨"
"admin.orders.reportion.filter_delivery.unshipped","Unshipped","発送されません","未出貨"
"admin.orders.reportion.filter_order.canceled","Canceled","キャンセル","已取消"
"admin.orders.reportion.filter_order.closed","Completed","事件は解決した","已結案"
"admin.orders.reportion.filter_order.ec","EC","EC","EC"
"admin.orders.reportion.filter_order.excel","Excel import","Excelインポート","Excel匯入"
"admin.orders.reportion.filter_order.filter_order_source","Filter by Order Source","注文元フィルター","訂單來源篩選"
"admin.orders.reportion.filter_order.filter_order_status","Filter by Order Status","注文ステータスフィルター","訂單狀態篩選"
"admin.orders.reportion.filter_order.mobile","Mobile","携帯電話","手機"
"admin.orders.reportion.filter_order.multiple_selection_source","Multiple selections are allowed. Leave empty for all order source","チェックできます。すべての注文元を選択するには空白のままにします。","可複選，留空則為所有訂單來源"
"admin.orders.reportion.filter_order.multiple_selection_status","Multiple selections are allowed. Leave empty for all order status","チェック可能、すべての注文ステータスは空白のまま","可複選，留空則為所有訂單狀態"
"admin.orders.reportion.filter_order.open","Open","進行中","進行中"
"admin.orders.reportion.filter_order.pc","PC","デスクトップ","桌機"
"admin.orders.reportion.filter_order.periodic_order","Recurring order","定期注文","定期訂單"
"admin.orders.reportion.filter_order.pos","POS","POS","POS"
"admin.orders.reportion.filter_payment.cod","Cash of Delivery","代金引換","貨到付款"
"admin.orders.reportion.filter_payment.failed","Failed","支払いに失敗しました","付款失敗"
"admin.orders.reportion.filter_payment.filter_payment_status","Filter by Payment Status","支払いステータスフィルター","付款狀態篩選"
"admin.orders.reportion.filter_payment.multiple_selection","Multiple selections are allowed. Leave empty for all payment status","チェックできます。すべての支払いステータスについては空白のままにしてください","可複選，留空則為所有付款狀態"
"admin.orders.reportion.filter_payment.paid","Paid","支払い受領","已收到款項"
"admin.orders.reportion.filter_payment.pending","Pending","不払い","未付款"
"admin.orders.reportion.filter_payment.refunded","Refunded","返金","已退款"
"admin.orders.reportion.filter_payment.refund_pending","Refund pending","払い戻し保留中","待退款"
"admin.orders.reportion.filter_return.filter_return_status","Filter by Return Status","ステータスフィルターを返す","退貨狀態篩選"
"admin.orders.reportion.filter_return.in_hub","In transit hub","積み替えセンター","轉運中心"
"admin.orders.reportion.filter_return.in_origin_cvs","In origin convenience store","発送元店舗","原寄件門市"
"admin.orders.reportion.filter_return.multiple_selection","Multiple selections are allowed. Leave empty for all return status (including orders that do not require a return)","チェック可能、すべての返品ステータスの場合は空白のまま（返品不要を含む）","可複選，留空則為所有退貨狀態(包含不需退貨)"
"admin.orders.reportion.filter_return.no_need","Return not needed","戻る必要はありません","不需退貨"
"admin.orders.reportion.filter_return.parital_return","Partially returned","部分的な返品","部份退貨"
"admin.orders.reportion.filter_return.problem","Problem occurred during shipping","異常分娩","運送異常"
"admin.orders.reportion.filter_return.refused","Return refused","復帰を拒否する","拒絕退貨"
"admin.orders.reportion.filter_return.request_return","Return requested","返品リクエスト","退貨申請"
"admin.orders.reportion.filter_return.returned","Returned","返品","已退貨"
"admin.orders.reportion.filter_return.returning","Returning","戻る","退貨中"
"admin.orders.reportion.from_date","Start date","開始日","開始日期"
"admin.orders.reportion.no_feature","If you want to export order data, this feature currently is for <a href=""%{index_path}"">Professional</a> , you currently are on %{plan} (Global Pro versions currently do not support this feature).
","注文情報をエクスポートする場合、この機能は現在 <a href=""%{index_path}"">プロフェッショナル セラー</a> のみ利用可能です。あなたは現在 %{plan} です (Global Pro は現在この機能を提供していません)
","若您希望匯出訂單資料 目前只提供給 <a href=""%{index_path}"">專業級賣家</a> ，您目前為 %{plan} (Global Pro 暫無提供此功能)
"
"admin.orders.reportion.order_report","Order Report","注文レポート","訂單報表"
"admin.orders.reportion.order_row","Repetitively show all fields from the same order","同じ注文列が繰り返し表示される","同筆訂單欄位重複顯示"
"admin.orders.reportion.orders","Order","注文","訂單"
"admin.orders.reportion.otp_error","OTP code error","認証コードエラー","驗證碼錯誤"
"admin.orders.reportion.personal_info_terms_1","1. You confirm that you are a merchant who are legally authorized to use the CYBERBIZ platform, and you are the party which provides products and services to the consumers.","1. お客様は、CYBERBIZ プラットフォームを使用する法的権限を持つ販売者であり、消費者に商品やサービスを提供する当事者であることを確認します。","一、您確認您為經合法授權使用CYBERBIZ平台之商家，並且為提供商品及服務給消費者之當事人。"
"admin.orders.reportion.personal_info_terms_2","2. You agree that all of the personal information collected from the CYBERBIZ platform are processed and used only within the scope and purpose of completing transations and/or services with the consumers. Unless required by law or given consent by individual consumers, you are not allowed to use these personal information for other purpose, scope, or any action that is against the personal information protection regulations.","2. お客様は、CYBERBIZプラットフォームから取得したすべての個人データの収集、処理、使用の範囲と目的が、消費者との取引の完了または消費者へのサービスの提供に限定されることに同意します。法律や規制で別途規定されている場合、または消費者の同意が得られている場合を除き、個人データを他の目的または範囲で使用したり、個人データ保護に関する関連法律や規制に違反するその他の行為を行ったりすることはできません。","二、您同意您從CYBERBIZ平台取得的所有個人資料，其蒐集、處理、使用的範圍與目的應限於完成與消費者間之交易或服務消費者之用途；除非法規另有規定或已取得消費者本人同意之外，您不可以將個人資料用於其他目的、範圍，或是進行其他違反個人資料保護相關法規之行為。"
"admin.orders.reportion.personal_info_terms_3","3. You are responsible for understanding and obeying the personal information protection regulations and its upates, if you violate the personal information protection laws by collecting, processing and other usage, CYBERBIZ is not involved in such actions. You understand that you will bear all civil and crimial consequences, and guarantee that CYBERBIZ will not suffer from any damage as a result.","3. お客様は、個人情報保護に関する法律および規制の規定および関連する更新を常に把握し、遵守する義務があります。お客様が個人情報保護に関する法律および規制に違反して個人データを収集、処理、または使用した場合、CYBERBIZ は責任を負いません。お客様は、これに起因するすべての民事および刑事責任を負うことを理解し、CYBERBIZ が損害を被らないようにするものとします。","三、您有義務隨時了解並遵守個人資料保護法規之規定及相關更新；如果您違反個人資料保護相關法規蒐集、處理或使用任何個人資料，概與CYBERBIZ無涉，您了解您應承擔所有因此產生的民、刑事責任，且應保證CYBERBIZ不會有任何損害。"
"admin.orders.reportion.personal_info_terms_description","To comply with the personal information protection regulations, CYBERBIZ requires you to read and understand the following information. When you click ""Confirm"", you agree to the following terms:","サイバービズは、個人情報保護法等の関連法令を遵守するため、以下の内容を詳しくお読みいただき、ご理解いただくことをお願いしております。「同意する」をクリックすると、以下の事項を遵守することに同意したものとみなされます。","為因應個人資料保護法之相關法規遵守，CYBERBIZ需要您詳讀並了解下內容，當您按下「我同意」時，即視為您同意遵守以下事項："
"admin.orders.reportion.personal_info_terms_title","About Personal Information Protection Terms","個人情報保護規約について","關於個人資料保護條款"
"admin.orders.reportion.please_complete_2fa","For the security of your account, please complete the verification operation.","アカウントのセキュリティのため、認証を完了してください。","為了您的帳號安全，請完成驗證操作。"
"admin.orders.reportion.read_agree","I have read and agreed to the terms as described above.","上記の事項を読み、同意します","我已閱讀並同意上述事項"
"admin.orders.reportion.receiving_email","Receiving Email","メールを受け取る","收信 Email"
"admin.orders.reportion.safety_authentication","Safety Authentication","セキュリティ検証","安全驗證"
"admin.orders.reportion.save_selected","Save selected fields","選択を保存","儲存已選"
"admin.orders.reportion.selected_fields","Selected Fields (drag and drop to adjust the sequence)","選択した列（上下にドラッグして並べ替えることができます）","已選取欄位(可上下拖曳排序)"
"admin.orders.reportion.select_read_agree","Please select ""I have read and agreed to the terms as described above.""","「上記事項に同意します」にチェックを入れてください","請勾選“我已同意上述事項”"
"admin.orders.reportion.submit","Submit","提出する","提交"
"admin.orders.reportion.thru_date","End date","終了日","結束日期"
"admin.orders.reportion.to","To","到着","到"
"admin.orders.report.no_selected_options","No selected field","フィールドが選択されていません","未選取任何欄位"
"admin.orders.report.order_source_no_plugins","Cannot be selected for order source: %{sources}","注文元を選択できません: %{sources}","訂單來源無法選擇：%{sources}"
"admin.orders.report.shop_export_report","[%{time}] Shop %{id} exported order report to %{email}:","[%{time}] ショップ %{id} が注文レポートを %{email} にエクスポートします:","[%{time}] Shop %{id} 匯出訂單報表給 %{email}："
"admin.orders.report.wait_orders_export","An order report has been exported and scheduled by %{name}. Please wait for it to complete before exporting again.","注文レポートがエクスポートされ、スケジュールされました。オペレーターは %{name} です。エクスポートする前に完了するまでお待ちください","已經有訂單報表匯出進入排程，操作者為%{name}。請等待完成後再進行匯出"
"admin.orders.reprint_info_is_blank","The info for reprinting is not complete, please fill in tax ID number and vendor name in invoice setting.","再印刷用の情報が未記入です。請求書設定より統一番号と会社登録名を入力してください。","補印用資料尚未填寫完整，請至發票設定中填寫統一編號與公司登記名"
"admin.orders.reset_address","%{name} changed the pickup location from ""%{address1}"" to ""%{new_address}"".","%{name} はストアを「%{address1}」から「%{new_address}」に再選択しました","%{name}重選門市，從「%{address1}」改為「%{new_address}」"
"admin.orders.return_fail","Return failed for order %{name}, %{message}.","注文 %{name}、返品失敗、%{message}。","訂單%{name}，退貨失敗，%{message}。"
"admin.orders.return_hint.return_finish","Order %{name}'s' returned goods have been accepted, the operator is %{user}","注文 %{name} の返品が受理されました。オペレーターは %{user} です。","訂單 %{name} 退貨已驗收，操作者為%{user}"
"admin.orders.returning_ok","Successfully updated to returning","戻るように変更されました","成功修改為退貨中"
"admin.orders.save_or_update_fail","Failed to save/update","保存または更新に失敗しました","儲存或更新失敗"
"admin.orders.save_or_update_success","Saved/updated successfully","保存または更新に成功しました","儲存或更新成功"
"admin.orders.schedule_cancel_invoice","Invoice voiding has been scheduled","無効/割引請求書がスケジュールされました","作廢/折讓發票已列入排程"
"admin.orders.schedule_download_reprint_invoice","Invoice reprinting, please stand by...","請求書を再印刷中です。しばらくお待ちください...","發票補印處理中，請稍候..."
"admin.orders.schedule_export","Order export has been scheduled. Once completed you will be notified by email.","注文のエクスポートがスケジュールされており、完了するとメールでお知らせします。","訂單匯出已經排程處理，稍後完成後會寄信通知您"
"admin.orders.schedule_invoice","Invoice generation has been scheduled.","請求書の発行が予定されています","開立發票已列入排程"
"admin.orders.schedule_partial_return","Partial refund has been scheduled","一部払い戻しが予定されています","部分退款已加入排程"
"admin.orders.serial_number_group.number_description","( specific product: %{variant_name})","(指定商品: %{variant_name})","（ 指定商品：%{variant_name} ）"
"admin.orders.serial_number_group.title","Serial Number Group","アクティビティNo.","活動序號"
"admin.orders.seven.admin_page","Convenience store orders","コンビニ注文","超商 訂單"
"admin.orders.seven.admin_panel","<i class='icon-keyboard'></i> Admin
","<i class='icon-keyboard'></i> バックステージパネル
","<i class='icon-keyboard'></i> 後台面板
"
"admin.orders.seven.alert_day_must","After the order is comfirmed, you must print the invoice in","注文が完了すると、","建立訂單成功後，需於"
"admin.orders.seven.alert_day_print","Print the consignment note and pay","送り状を印刷して支払う","列印託運單並繳費"
"admin.orders.seven.alert_day_red","7 days","7日以内","七天內"
"admin.orders.seven.alert_size_edge","Parcel length must ≦ 45 cm, and girth must ≦ 2*(30 + 30) cm","1辺≤45cm、他の2辺≤30cm","單邊長 ≦ 45公分、其他兩邊 ≦ 30公分"
"admin.orders.seven.alert_size_total","Parcel length + girth must ≦ 45 cm + 30 cm + 30 cm","製品包装の長さ+幅+高さ≦45*30*30cm","商品外包裝長+寬+高 ≦ 45*30*30公分"
"admin.orders.seven.alert_title","Shipment and parcel weights","配送と梱包のヒント","出貨與包裝提示"
"admin.orders.seven.alert_weight","Parcel weight must ≦","商品の総重量≦","商品總重量 ≦"
"admin.orders.seven.alert_weight_limit","5 kg","5kg","5公斤"
"admin.orders.seven_c2c_print_limit_reached","7-11 C2C exceeded the printing limit; a maximum of 160 entries can be printed at a time.","7-11 C2C 印刷制限を超えました。一度に最大160個まで","7-11 C2C 超過列印筆數限制，一次最多160筆"
"admin.orders.seven.customer","Customer","お客様","顧客"
"admin.orders.seven.date","Date","日付","日期"
"admin.orders.seven.filter.postfix_rows","Rows per page","ペン","筆"
"admin.orders.seven.filter.postfix_status","Order","注文","訂單"
"admin.orders.seven.filter.prefix_financial_status","Show","見せる","顯示"
"admin.orders.seven.filter.prefix_fulfillment_status","and","そして","和"
"admin.orders.seven.filter.prefix_rows","Rows per page","見せる","顯示"
"admin.orders.seven.filter.prefix_status","with","の","的"
"admin.orders.seven.financial_status","Financial status","支払い状況","付款狀態"
"admin.orders.seven.financial_status_drop","Any orders except canceling","顧客離脱に加えて","除顧客棄單以外"
"admin.orders.seven.fulfillment_status","Fulfillment status","配送状況","配送狀態"
"admin.orders.seven.fulfillment_status_drop","Any fulfillment status","配送状況","任何配送狀態"
"admin.orders.seven.loading","Loading ...","データの読み取り","讀取資料中"
"admin.orders.seven.no_record","No record","現在、一致する注文はありません","目前無符合的訂單"
"admin.orders.seven.order","Order","注文","訂單"
"admin.orders.seven.record_close","Completed","事件は解決した","已結案"
"admin.orders.seven.record_warning","Warning","アラートアカウント","警示帳戶"
"admin.orders.seven.remark","Remark","述べる","備註"
"admin.orders.seven_shipping_contract","7-eleven contract specifications","7-11 契約仕様","7-11合約規範"
"admin.orders.seven.status_drop","Any order status","全て","所有"
"admin.orders.seven.status_filter.close","Complete order","注文終了","結束訂單"
"admin.orders.seven.status_filter.fulfilled","Fulfilled","「出荷」に変更","更改為 '已出貨'"
"admin.orders.seven.status_filter.open","Start order","オープン注文","開啟訂單"
"admin.orders.seven.status_filter.preparing","Preparing","「発送準備完了」に変更","更改為 '準備出貨'"
"admin.orders.seven.status_filter.select","Action…","アクションを選択してください...","選擇操作…"
"admin.orders.seven_store_id","Convience store ID:","スーパー店舗番号:","超商店號 : "
"admin.orders.seven.title","Convenience store orders","コンビニエンスストア経営","超商 管理"
"admin.orders.seven.total_price","Total Price","一時金","總金額"
"admin.orders.seven.warehouse_remark","Warehouse remark","物流情報","物流訊息"
"admin.orders.sf_reminder.call_sf","Have the SF Express driver automatically come to pick up the package after the label is printed.","注文書を印刷した後、SFエクスプレスのドライバーに荷物を自動的に受け取るように依頼してください。","請順豐司機於印單後自動前來取件"
"admin.orders.sf_reminder.sf_refuse","If the consumer rejects the package, S.F. Express will charge return shipping fees for returning the package to the shop, while the fees should be handed in person to the express company.","消費者が荷物の受け取りを拒否した場合、SF Express は荷物が店舗に返送された際に、店舗から直接返送料を徴収します。","若消費者拒收包裹，順豐將會在包裹退給店家時，由物流當面跟店家收取退件運費。"
"admin.orders.sf_reminder.sf_reminder","Reminder: Delivery drivers will evaluate whether to accept packages with a volume greater than 170cm (which means there is a chance it may not be accepted). Seperating the package into two is recommended for packages with a volume greater than 170cm to avoid drivers refusing to pick it up, and you will have to print a new shipping label, and being unable to update delivery status. Thank you.","注意：体積が170cmを超える荷物については、各SFエクスプレスステーションのドライバーが受け入れるかどうかを判断します（つまり、受け入れられない可能性があります）。170cmを超える場合は、後続のドライバーが商品を受け取らず、送り状を再印刷して再出荷する必要が生じても注文ステータスを更新できないことを避けるために、2つの荷物に分けて発送することをお勧めします。ありがとうございます。","提醒您：超過170cm材積的包裹，依各順豐站所司機評估是否收取(亦即有不收取的可能)，建議若超過170cm，請拆成兩個包裹進行出貨，以避免後續司機不收貨，導致需要加印托運單重新出貨，但訂單貨態無法更新，謝謝。"
